step,train_loss,val_loss,train_acc,val_acc,in_context_acc
0,0.6931473016738892,0.6845839619636536,0.492000013589859,0.8999999761581421,0.9527999758720398
1,0.6846656203269958,0.6845839619636536,0.8920000195503235,0.8999999761581421,0.9527999758720398
2,0.6762108206748962,0.6845839619636536,0.9620000123977661,0.8999999761581421,0.9527999758720398
3,0.667879581451416,0.6845839619636536,0.9860000014305115,0.8999999761581421,0.9527999758720398
4,0.6593978404998779,0.6845839619636536,0.9900000095367432,0.8999999761581421,0.9527999758720398
5,0.6515572667121887,0.6845839619636536,0.9980000257492065,0.8999999761581421,0.9527999758720398
6,0.6433607935905457,0.6845839619636536,0.9980000257492065,0.8999999761581421,0.9527999758720398
7,0.6347305178642273,0.6845839619636536,0.9959999918937683,0.8999999761581421,0.9527999758720398
8,0.6282238960266113,0.6845839619636536,0.9980000257492065,0.8999999761581421,0.9527999758720398
9,0.6234128475189209,0.6845839619636536,0.9980000257492065,0.8999999761581421,0.9527999758720398
10,0.6139867901802063,0.6845839619636536,0.9980000257492065,0.8999999761581421,0.9527999758720398
11,0.6064302325248718,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
12,0.6012238264083862,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
13,0.5966898798942566,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
14,0.5848993062973022,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
15,0.5800549387931824,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
16,0.5716557502746582,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
17,0.5674331784248352,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
18,0.5609415173530579,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
19,0.5519928336143494,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
20,0.5499097108840942,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
21,0.5414957404136658,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
22,0.5342379808425903,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
23,0.530167818069458,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
24,0.521033525466919,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
25,0.5216352343559265,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
26,0.5153848528862,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
27,0.505189061164856,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
28,0.5015020370483398,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
29,0.4994617998600006,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
30,0.491557776927948,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
31,0.48673754930496216,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
32,0.48072198033332825,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
33,0.4741412401199341,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
34,0.47042930126190186,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
35,0.4639970660209656,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
36,0.4643542468547821,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
37,0.4593961536884308,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
38,0.45644158124923706,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
39,0.44751113653182983,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
40,0.44703081250190735,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
41,0.4400928020477295,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
42,0.4395085275173187,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
43,0.43486127257347107,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
44,0.4286443889141083,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
45,0.4205341041088104,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
46,0.42320549488067627,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
47,0.41558414697647095,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
48,0.41084155440330505,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
49,0.40899205207824707,0.6845839619636536,1.0,0.8999999761581421,0.9527999758720398
50,0.40052154660224915,0.4008673429489136,1.0,1.0,1.0
